index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession (in percent),h_yellow,h_red,a_yellow,a_red,h_corners,a_corners
0,13-14,1,AGF,Midtjylland,0,2,0,2,8,11,0.5,0.5,1,1,1,0,5,4
1,13-14,1,Viborg,Randers,2,2,0,1,9,10,0.48,0.52,1,0,2,0,4,1
2,13-14,1,OB,SønderjyskE,1,1,1,0,7,16,0.52,0.48,2,0,2,0,4,11
3,13-14,1,Brøndby,Vestsjælland,1,1,1,0,16,8,0.53,0.47,2,0,1,0,8,2
4,13-14,1,AaB,København,2,1,0,0,6,13,0.51,0.49,2,0,2,0,1,4
5,13-14,1,Esbjerg,Nordsjælland,4,0,3,0,3,7,0.49,0.51,2,0,0,0,3,8
6,13-14,2,Nordsjælland,Viborg,1,1,1,0,14,9,0.47,0.53,2,0,2,0,6,7
7,13-14,2,Vestsjælland,AGF,0,2,0,1,14,10,0.49,0.51,0,0,1,0,2,1
8,13-14,2,Randers,OB,1,1,1,0,14,12,0.48,0.52,1,0,2,0,7,4
9,13-14,2,SønderjyskE,Brøndby,1,0,0,0,12,9,0.52,0.48,2,0,3,0,4,1
10,13-14,2,Midtjylland,København,1,0,1,0,10,13,0.52,0.48,3,0,1,0,4,7
11,13-14,2,Esbjerg,AaB,1,2,1,0,11,11,0.51,0.49,3,0,0,0,7,7
12,13-14,3,Midtjylland,SønderjyskE,2,1,0,0,8,11,0.51,0.49,1,0,4,0,6,8
13,13-14,3,AGF,Nordsjælland,2,1,0,0,7,10,0.47,0.53,1,0,1,0,3,2
14,13-14,3,OB,Viborg,4,2,2,1,7,11,0.47,0.53,1,0,4,0,5,3
15,13-14,3,København,Randers,1,3,1,1,19,11,0.48,0.52,0,0,1,0,7,6
16,13-14,3,Brøndby,Esbjerg,0,2,0,0,12,9,0.51,0.49,1,0,1,0,8,4
17,13-14,3,Vestsjælland,AaB,2,1,1,0,13,13,0.49,0.51,1,0,2,0,6,8
18,13-14,4,Viborg,Brøndby,2,2,1,0,10,15,0.5,0.5,3,0,1,0,2,11
19,13-14,4,Esbjerg,AGF,5,1,1,0,8,8,0.47,0.53,1,0,3,0,9,3
20,13-14,4,Randers,Midtjylland,1,3,1,1,10,14,0.5,0.5,1,0,2,0,6,5
21,13-14,4,AaB,OB,0,0,0,0,17,11,0.49,0.51,0,0,2,0,8,3
22,13-14,4,Nordsjælland,København,2,2,1,1,10,10,0.53,0.47,2,0,3,0,1,1
