index,season,date,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners
0,13-14,Jul 19 2013,1,AGF,Midtjylland,0,2,0,2,8,11,118.81,118.53,0.5,50,0.5,50,7,15,9,11,1,0,1,1,6,4
1,13-14,Jul 20 2013,1,Viborg,Randers,2,2,0,1,9,10,116.01,113.39,0.48,52,0.52,48,9,5,16,17,0,0,1,2,6,9
2,13-14,Jul 21 2013,1,OB,Sønderjyske,1,1,1,0,7,16,113.9,118.93,0.52,48,0.48,52,10,12,15,10,0,0,2,2,5,2
3,13-14,Jul 21 2013,1,Brøndby,Vestsjælland,1,1,1,0,16,8,108.94,103.15,0.53,47,0.47,53,10,12,11,27,0,0,2,1,7,2
4,13-14,Jul 21 2013,1,AaB,København,2,1,0,0,6,13,110.61,112.78,0.51,49,0.49,51,13,9,12,18,0,0,2,2,5,6
5,13-14,Jul 22 2013,1,Esbjerg,Nordsjælland,4,0,3,0,3,7,112.32,107.03,0.49,51,0.51,49,18,9,18,17,0,0,2,0,5,4
6,13-14,Jul 26 2013,2,Nordsjælland,Viborg,1,1,1,0,14,9,115.32,114.69,0.47,53,0.53,47,7,9,17,10,0,0,2,2,2,7
7,13-14,Jul 27 2013,2,Vestsjælland,AGF,0,2,0,1,14,10,119.61,117.72,0.49,51,0.51,49,9,13,13,14,0,0,0,1,2,8
8,13-14,Jul 28 2013,2,Randers,OB,1,1,1,0,14,12,114.6,119.07,0.48,52,0.52,48,13,12,10,12,0,0,1,2,3,7
9,13-14,Jul 28 2013,2,Sønderjyske,Brøndby,1,0,0,0,12,9,119.09,121.79,0.52,48,0.48,52,13,16,15,13,0,0,2,3,10,3
10,13-14,Jul 28 2013,2,Midtjylland,København,1,0,1,0,10,13,114.89,113.25,0.52,48,0.48,52,10,10,16,18,0,0,3,1,11,3
11,13-14,Jul 29 2013,2,Esbjerg,AaB,1,2,1,0,11,11,117.12,115.79,0.51,49,0.49,51,11,7,15,16,0,0,3,0,3,7
12,13-14,Aug 02 2013,3,Midtjylland,Sønderjyske,2,1,0,0,8,11,117.48,113.79,0.51,49,0.49,51,10,12,7,16,0,0,1,4,2,4
13,13-14,Aug 03 2013,3,AGF,Nordsjælland,2,1,0,0,7,10,110.45,117.42,0.47,53,0.53,47,12,9,21,14,0,0,1,1,2,4
14,13-14,Aug 04 2013,3,OB,Viborg,4,2,2,1,7,11,114.49,114.95,0.47,53,0.53,47,9,15,17,9,0,0,1,4,6,5
15,13-14,Aug 04 2013,3,København,Randers,1,3,1,1,19,11,114,113.14,0.48,52,0.52,48,10,7,18,10,0,0,0,1,1,3
16,13-14,Aug 04 2013,3,Brøndby,Esbjerg,0,2,0,0,12,9,108.06,106.97,0.51,49,0.49,51,13,12,17,15,0,0,1,1,4,5
17,13-14,Aug 05 2013,3,Vestsjælland,AaB,2,1,1,0,13,13,119.12,121.59,0.49,51,0.51,49,9,14,12,8,0,0,1,2,4,3
18,13-14,Aug 09 2013,4,Viborg,Brøndby,2,2,1,0,10,15,115.35,112.93,0.5,50,0.5,50,18,6,12,14,0,0,3,1,7,2
19,13-14,Aug 10 2013,4,Esbjerg,AGF,5,1,1,0,8,8,116.21,116.9,0.47,53,0.53,47,5,9,9,13,0,0,1,3,10,1
20,13-14,Aug 11 2013,4,Randers,Midtjylland,1,3,1,1,10,14,117.89,116.07,0.5,50,0.5,50,8,10,13,10,0,0,1,2,7,3
21,13-14,Aug 11 2013,4,AaB,OB,0,0,0,0,17,11,104.85,103.02,0.49,51,0.51,49,11,13,23,18,0,0,0,2,7,1
