index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off
0,13-14,Jul 19 2013,1,N/A,Ceres Park,9364,AGF,Midtjylland,Lost,Won,0,3,0,2,0,2,8,11,0.5,0.5,7,15,1,0,1,1,5,4,2.59,3.43,2.84,0,0,0,0,3,3,5,8
1,13-14,Jul 20 2013,1,N/A,Energi Viborg Arena,4771,Viborg,Randers,Draw,Draw,1,1,2,2,0,1,9,10,0.48,0.52,9,5,0,0,1,2,4,1,3.16,3.39,2.39,0,0,0,0,2,4,7,6
2,13-14,Jul 21 2013,1,N/A,EWII Park (Odense),7114,OB,Sønderjyske,Draw,Draw,1,1,1,1,1,0,7,16,0.52,0.48,10,12,0,0,2,2,4,11,2.06,3.62,3.74,0,0,0,0,4,8,3,8
3,13-14,Jul 21 2013,1,N/A,Brøndby Stadion,18770,Brøndby,Vestsjælland,Draw,Draw,1,1,1,1,1,0,16,8,0.53,0.47,10,12,0,0,2,1,8,2,1.79,3.68,4.98,0,0,0,0,4,4,12,4
4,13-14,Jul 21 2013,1,N/A,Aalborg Portland Park,7062,AaB,København,Won,Lost,3,0,2,1,0,0,6,13,0.51,0.49,13,9,0,0,2,2,1,4,3.92,3.64,2,0,0,0,0,3,6,3,7
5,13-14,Jul 22 2013,1,N/A,Blue Water Arena,7594,Esbjerg,Nordsjælland,Won,Lost,3,0,4,0,3,0,3,7,0.49,0.51,18,9,0,0,2,0,3,8,2.94,3.38,2.54,0,0,0,0,0,5,3,2
6,13-14,Jul 26 2013,2,N/A,Right to Dream Park,5067,Nordsjælland,Viborg,Draw,Draw,1,1,1,1,1,0,14,9,0.47,0.53,7,9,0,0,2,2,6,7,1.75,3.9,4.94,0,0,0,0,5,5,9,4
7,13-14,Jul 27 2013,2,N/A,Harboe Arena Slagelse,3859,Vestsjælland,AGF,Lost,Won,0,3,0,2,0,1,14,10,0.49,0.51,9,13,0,0,0,1,2,1,2.79,3.38,2.66,0,0,0,0,7,7,7,3
8,13-14,Jul 28 2013,2,N/A,BioNutria Park Randers,4852,Randers,OB,Draw,Draw,1,1,1,1,1,0,14,12,0.48,0.52,13,12,0,0,1,2,7,4,2.09,3.56,3.69,0,0,0,0,7,6,7,6
9,13-14,Jul 28 2013,2,N/A,Sydbank Park,5700,Sønderjyske,Brøndby,Won,Lost,3,0,1,0,0,0,12,9,0.52,0.48,13,16,0,0,2,3,4,1,2.56,3.55,2.79,0,0,0,0,5,3,7,6
10,13-14,Jul 28 2013,2,N/A,MCH Arena,8759,Midtjylland,København,Won,Lost,3,0,1,0,1,0,10,13,0.52,0.48,10,10,0,0,3,1,4,7,3.37,3.59,2.2,0,0,0,0,4,6,6,7
11,13-14,Jul 29 2013,2,N/A,Blue Water Arena,9517,Esbjerg,AaB,Lost,Won,0,3,1,2,1,0,11,11,0.51,0.49,11,7,0,0,3,0,7,7,2.02,3.64,3.81,0,0,0,0,3,2,8,9
12,13-14,Aug 02 2013,3,N/A,MCH Arena,5145,Midtjylland,Sønderjyske,Won,Lost,3,0,2,1,0,0,8,11,0.51,0.49,10,12,0,0,1,4,6,8,1.85,3.78,4.47,0,0,0,0,2,5,6,6
13,13-14,Aug 03 2013,3,N/A,Ceres Park,6997,AGF,Nordsjælland,Won,Lost,3,0,2,1,0,0,7,10,0.47,0.53,12,9,0,0,1,1,3,2,2.74,3.43,2.68,0,0,0,0,6,4,1,6
14,13-14,Aug 04 2013,3,N/A,EWII Park (Odense),7889,OB,Viborg,Won,Lost,3,0,4,2,2,1,7,11,0.47,0.53,9,15,0,0,1,4,5,3,2.09,3.7,3.56,0,0,0,0,4,3,3,8
15,13-14,Aug 04 2013,3,N/A,Telia Parken,12956,København,Randers,Lost,Won,0,3,1,3,1,1,19,11,0.48,0.52,10,7,0,0,0,1,7,6,1.54,4.3,6.76,0,0,0,0,5,5,14,6
16,13-14,Aug 04 2013,3,N/A,Brøndby Stadion,14771,Brøndby,Esbjerg,Lost,Won,0,3,0,2,0,0,12,9,0.51,0.49,13,12,0,0,1,1,8,4,2.75,3.4,2.69,0,0,0,0,4,4,8,5
17,13-14,Aug 05 2013,3,N/A,Harboe Arena Slagelse,1688,Vestsjælland,AaB,Won,Lost,3,0,2,1,1,0,13,13,0.49,0.51,9,14,0,0,1,2,6,8,3.84,3.49,2.06,0,0,0,0,3,7,10,6
18,13-14,Aug 09 2013,4,N/A,Energi Viborg Arena,9047,Viborg,Brøndby,Draw,Draw,1,1,2,2,1,0,10,15,0.5,0.5,18,6,0,0,3,1,2,11,2.93,3.45,2.5,0,0,0,0,2,6,8,9
19,13-14,Aug 10 2013,4,N/A,Blue Water Arena,8012,Esbjerg,AGF,Won,Lost,3,0,5,1,1,0,8,8,0.47,0.53,5,9,0,0,1,3,9,3,2.12,3.53,3.64,0,0,0,0,4,6,4,2
20,13-14,Aug 11 2013,4,N/A,BioNutria Park Randers,5064,Randers,Midtjylland,Lost,Won,0,3,1,3,1,1,10,14,0.5,0.5,8,10,0,0,1,2,6,5,2.61,3.49,2.78,0,0,0,0,3,4,7,10
21,13-14,Aug 11 2013,4,N/A,Aalborg Portland Park,6369,AaB,OB,Draw,Draw,1,1,0,0,0,0,17,11,0.49,0.51,11,13,0,0,0,2,8,3,2.04,3.62,3.76,0,0,0,0,5,4,12,7
22,13-14,Aug 11 2013,4,N/A,Right to Dream Park,7769,Nordsjælland,København,Draw,Draw,1,1,2,2,1,1,10,10,0.53,0.47,12,11,0,0,2,3,1,1,3.44,3.59,2.17,0,0,0,0,2,4,8,6
23,13-14,Aug 12 2013,4,N/A,Sydbank Park,2739,Sønderjyske,Vestsjælland,Draw,Draw,1,1,0,0,0,0,12,11,0.48,0.52,12,15,0,0,2,3,8,5,1.85,3.76,4.45,0,0,0,0,4,5,8,6
24,13-14,Aug 16 2013,5,N/A,MCH Arena,10745,Midtjylland,Brøndby,Won,Lost,3,0,5,2,2,1,10,11,0.5,0.5,17,13,0,0,2,1,5,4,1.99,3.55,4.07,0,0,0,0,6,4,4,7
25,13-14,Aug 17 2013,5,N/A,Right to Dream Park,4013,Nordsjælland,AaB,Won,Lost,3,0,2,1,1,1,9,8,0.53,0.47,7,7,0,0,1,0,5,9,2.23,3.53,3.35,0,0,0,0,7,4,2,4
26,13-14,Aug 18 2013,5,N/A,Harboe Arena Slagelse,4434,Vestsjælland,OB,Draw,Draw,1,1,1,1,0,1,10,6,0.51,0.49,9,10,0,0,2,2,7,3,3.02,3.48,2.43,0,0,0,0,4,4,6,2
27,13-14,Aug 18 2013,5,N/A,Sydbank Park,2654,Sønderjyske,Viborg,Lost,Won,0,3,0,3,0,2,7,9,0.49,0.51,12,13,0,0,0,3,7,3,1.93,3.63,4.24,0,0,0,0,5,3,2,6
28,13-14,Aug 18 2013,5,N/A,Telia Parken,13316,København,AGF,Draw,Draw,1,1,1,1,1,1,12,9,0.49,0.51,17,12,0,0,1,4,8,3,0,0,0,0,0,0,0,5,4,7,5
29,13-14,Aug 19 2013,5,N/A,BioNutria Park Randers,3850,Randers,Esbjerg,Won,Lost,3,0,3,2,0,1,15,4,0.48,0.52,10,13,0,0,3,2,4,3,2.78,3.4,2.66,0,0,0,0,6,2,9,2
