;index;season;date;matchday;referee;stadium_name;attendance;h_team;a_team;h_result;a_result;h_points;a_points;h_goals;a_goals;h_ht_goals;a_ht_goals;h_shots_on_goal;a_shots_on_goal;a_possession;h_possession;h_fouls;a_fouls;h_red;a_red;h_yellow;a_yellow;h_corners;a_corners;h_odds;draw_odds;a_odds;h_pre_xg;a_pre_xg;h_xg;a_xg;h_shots_on;a_shots_on;h_shots_off;a_shots_off;gps
0;0;13-14;Jul 19 2013;1;;Ceres Park;9364;AGF;Midtjylland;Lost;Won;0;3;0;2;0;02.00;08.00;11.00;00.05;00.05;07.00;15.00;1;0;1;1;5;4;02.59;03.43;0,141666667;0;00.00;00.00;00.00;03.00;03.00;05.00;08.00;[56.1327356, 10.196762]
1;1;13-14;Jul 20 2013;1;;Energi Viborg Arena;4771;Viborg;Randers;Draw;Draw;1;1;2;2;0;01.00;09.00;10.00;00.48;00.52;09.00;05.00;0;0;1;2;4;1;03.16;03.39;02.39;0;00.00;00.00;00.00;02.00;04.00;07.00;06.00;[56.455903899999996, 9.402020349999999]
2;2;13-14;Jul 21 2013;1;;EWII Park (Odense);7114;OB;Sønderjyske;Draw;Draw;1;1;1;1;1;00.00;07.00;16.00;00.52;00.48;10.00;12.00;0;0;2;2;4;11;02.06;0,168055556;0,176388889;0;00.00;00.00;00.00;04.00;08.00;03.00;08.00;[55.397745, 10.35022492586062]
3;3;13-14;Jul 21 2013;1;;Brøndby Stadion;18770;Brøndby;Vestsjælland;Draw;Draw;1;1;1;1;1;00.00;16.00;08.00;00.53;00.47;10.00;12.00;0;0;2;1;8;2;0,096527778;0,172222222;0,234722222;0;00.00;00.00;00.00;04.00;04.00;12.00;04.00;[55.6480283, 12.4154952]
4;4;13-14;Jul 21 2013;1;;Aalborg Portland Park;7062;AaB;København;Won;Lost;3;0;2;1;0;00.00;06.00;13.00;00.51;00.49;13.00;09.00;0;0;2;2;1;4;0,188888889;0,169444444;02.00;0;00.00;00.00;00.00;03.00;06.00;03.00;07.00;[57.05203525, 9.898599342025985]
5;5;13-14;Jul 22 2013;1;;Blue Water Arena;7594;Esbjerg;Nordsjælland;Won;Lost;3;0;4;0;3;00.00;03.00;07.00;00.49;00.51;18.00;09.00;0;0;2;0;3;8;0,148611111;03.38;02.54;0;00.00;00.00;00.00;00.00;05.00;03.00;02.00;[55.48194305, 8.438397123328269]
6;6;13-14;Jul 26 2013;2;;Right to Dream Park;5067;Nordsjælland;Viborg;Draw;Draw;1;1;1;1;1;00.00;14.00;09.00;00.47;00.53;07.00;09.00;0;0;2;2;6;7;0,09375;03.09;0,231944444;0;00.00;00.00;00.00;05.00;05.00;09.00;04.00;[55.81619865, 12.353032590985052]
7;7;13-14;Jul 27 2013;2;;Harboe Arena Slagelse;3859;Vestsjælland;AGF;Lost;Won;0;3;0;2;0;01.00;14.00;10.00;00.49;00.51;09.00;13.00;0;0;0;1;2;1;0,138194444;03.38;0,129166667;0;00.00;00.00;00.00;07.00;07.00;07.00;03.00;[55.40040215, 11.364318154012732]
8;8;13-14;Jul 28 2013;2;;BioNutria Park Randers;4852;Randers;OB;Draw;Draw;1;1;1;1;1;00.00;14.00;12.00;00.48;00.52;13.00;12.00;0;0;1;2;7;4;02.09;03.56;0,172916667;0;00.00;00.00;00.00;07.00;06.00;07.00;06.00;[56.46607165, 10.010154126188361]
9;9;13-14;Jul 28 2013;2;;Sydbank Park;5700;Sønderjyske;Brøndby;Won;Lost;3;0;1;0;0;00.00;12.00;09.00;00.52;00.48;13.00;16.00;0;0;2;3;4;1;02.56;03.55;0,138194444;0;00.00;00.00;00.00;05.00;03.00;07.00;06.00;[55.2613291, 9.487707200000001]
10;10;13-14;Jul 28 2013;2;;MCH Arena;8759;Midtjylland;København;Won;Lost;3;0;1;0;1;00.00;10.00;13.00;00.52;00.48;10.00;10.00;0;0;3;1;4;7;03.37;03.59;02.02;0;00.00;00.00;00.00;04.00;06.00;06.00;07.00;[56.1169164, 8.951716477487706]
11;11;13-14;Jul 29 2013;2;;Blue Water Arena;9517;Esbjerg;AaB;Lost;Won;0;3;1;2;1;00.00;11.00;11.00;00.51;00.49;11.00;07.00;0;0;3;0;7;7;02.02;0,169444444;0,18125;0;00.00;00.00;00.00;03.00;02.00;08.00;09.00;[55.48194305, 8.438397123328269]
12;12;13-14;Aug 02 2013;3;;MCH Arena;5145;Midtjylland;Sønderjyske;Won;Lost;3;0;2;1;0;00.00;08.00;11.00;00.51;00.49;10.00;12.00;0;0;1;4;6;8;0,100694444;0,179166667;04.47;0;00.00;00.00;00.00;02.00;05.00;06.00;06.00;[56.1169164, 8.951716477487706]
13;13;13-14;Aug 03 2013;3;;Ceres Park;6997;AGF;Nordsjælland;Won;Lost;3;0;2;1;0;00.00;07.00;10.00;00.47;00.53;12.00;09.00;0;0;1;1;3;2;0,134722222;03.43;0,130555556;0;00.00;00.00;00.00;06.00;04.00;01.00;06.00;[56.1327356, 10.196762]
14;14;13-14;Aug 04 2013;3;;EWII Park (Odense);7889;OB;Viborg;Won;Lost;3;0;4;2;2;01.00;07.00;11.00;00.47;00.53;09.00;15.00;0;0;1;4;5;3;02.09;03.07;03.56;0;00.00;00.00;00.00;04.00;03.00;03.00;08.00;[55.397745, 10.35022492586062]
15;15;13-14;Aug 04 2013;3;;Telia Parken;12956;København;Randers;Lost;Won;0;3;1;3;1;01.00;19.00;11.00;00.48;00.52;10.00;07.00;0;0;0;1;7;6;01.54;04.03;0,302777778;0;00.00;00.00;00.00;05.00;05.00;14.00;06.00;[55.70270425, 12.572263776860414]
16;16;13-14;Aug 04 2013;3;;Brøndby Stadion;14771;Brøndby;Esbjerg;Lost;Won;0;3;0;2;0;00.00;12.00;09.00;00.51;00.49;13.00;12.00;0;0;1;1;8;4;0,135416667;03.04;0,13125;0;00.00;00.00;00.00;04.00;04.00;08.00;05.00;[55.6480283, 12.4154952]
