,index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
0,0,13-14,Jul 19 2013,1,,Ceres Park,9364.0,AGF,Midtjylland,Lost,Won,0,3,0,2,0,2,8,11,0.5,0.5,7.0,15.0,1,0,1,1,5,4,2.59,3.43,2.84,0.0,0.0,0.0,0.0,3,3,5,8,"[56.1327356, 10.196762]"
1,1,13-14,Jul 20 2013,1,,Energi Viborg Arena,4771.0,Viborg,Randers,Draw,Draw,1,1,2,2,0,1,9,10,0.48,0.52,9.0,5.0,0,0,1,2,4,1,3.16,3.39,2.39,0.0,0.0,0.0,0.0,2,4,7,6,"[56.455903899999996, 9.402020349999999]"
2,2,13-14,Jul 21 2013,1,,EWII Park (Odense),7114.0,OB,Sønderjyske,Draw,Draw,1,1,1,1,1,0,7,16,0.52,0.48,10.0,12.0,0,0,2,2,4,11,2.06,3.62,3.74,0.0,0.0,0.0,0.0,4,8,3,8,"[55.397745, 10.35022492586062]"
3,3,13-14,Jul 21 2013,1,,Brøndby Stadion,18770.0,Brøndby,Vestsjælland,Draw,Draw,1,1,1,1,1,0,16,8,0.53,0.47,10.0,12.0,0,0,2,1,8,2,1.79,3.68,4.98,0.0,0.0,0.0,0.0,4,4,12,4,"[55.6503299, 12.4170778]"
4,4,13-14,Jul 21 2013,1,,Aalborg Portland Park,7062.0,AaB,København,Won,Lost,3,0,2,1,0,0,6,13,0.51,0.49,13.0,9.0,0,0,2,2,1,4,3.92,3.64,2.0,0.0,0.0,0.0,0.0,3,6,3,7,"[57.05203525, 9.898599342025985]"
5,5,13-14,Jul 22 2013,1,,Blue Water Arena,7594.0,Esbjerg,Nordsjælland,Won,Lost,3,0,4,0,3,0,3,7,0.49,0.51,18.0,9.0,0,0,2,0,3,8,2.94,3.38,2.54,0.0,0.0,0.0,0.0,0,5,3,2,"[55.48194305, 8.438397123328269]"
6,6,13-14,Jul 26 2013,2,,Right to Dream Park,5067.0,Nordsjælland,Viborg,Draw,Draw,1,1,1,1,1,0,14,9,0.47,0.53,7.0,9.0,0,0,2,2,6,7,1.75,3.9,4.94,0.0,0.0,0.0,0.0,5,5,9,4,"[55.81619865, 12.353032590985052]"
7,7,13-14,Jul 27 2013,2,,Harboe Arena Slagelse,3859.0,Vestsjælland,AGF,Lost,Won,0,3,0,2,0,1,14,10,0.49,0.51,9.0,13.0,0,0,0,1,2,1,2.79,3.38,2.66,0.0,0.0,0.0,0.0,7,7,7,3,"[55.40040215, 11.364318154012732]"
8,8,13-14,Jul 28 2013,2,,BioNutria Park Randers,4852.0,Randers,OB,Draw,Draw,1,1,1,1,1,0,14,12,0.48,0.52,13.0,12.0,0,0,1,2,7,4,2.09,3.56,3.69,0.0,0.0,0.0,0.0,7,6,7,6,"[56.46607165, 10.010154126188361]"
9,9,13-14,Jul 28 2013,2,,Sydbank Park,5700.0,Sønderjyske,Brøndby,Won,Lost,3,0,1,0,0,0,12,9,0.52,0.48,13.0,16.0,0,0,2,3,4,1,2.56,3.55,2.79,0.0,0.0,0.0,0.0,5,3,7,6,"[55.2613291, 9.487707200000001]"
10,10,13-14,Jul 28 2013,2,,MCH Arena,8759.0,Midtjylland,København,Won,Lost,3,0,1,0,1,0,10,13,0.52,0.48,10.0,10.0,0,0,3,1,4,7,3.37,3.59,2.2,0.0,0.0,0.0,0.0,4,6,6,7,"[56.1169164, 8.951716477487706]"
11,11,13-14,Jul 29 2013,2,,Blue Water Arena,9517.0,Esbjerg,AaB,Lost,Won,0,3,1,2,1,0,11,11,0.51,0.49,11.0,7.0,0,0,3,0,7,7,2.02,3.64,3.81,0.0,0.0,0.0,0.0,3,2,8,9,"[55.48194305, 8.438397123328269]"
12,12,13-14,Aug 02 2013,3,,MCH Arena,5145.0,Midtjylland,Sønderjyske,Won,Lost,3,0,2,1,0,0,8,11,0.51,0.49,10.0,12.0,0,0,1,4,6,8,1.85,3.78,4.47,0.0,0.0,0.0,0.0,2,5,6,6,"[56.1169164, 8.951716477487706]"
13,13,13-14,Aug 03 2013,3,,Ceres Park,6997.0,AGF,Nordsjælland,Won,Lost,3,0,2,1,0,0,7,10,0.47,0.53,12.0,9.0,0,0,1,1,3,2,2.74,3.43,2.68,0.0,0.0,0.0,0.0,6,4,1,6,"[56.1327356, 10.196762]"
14,14,13-14,Aug 04 2013,3,,EWII Park (Odense),7889.0,OB,Viborg,Won,Lost,3,0,4,2,2,1,7,11,0.47,0.53,9.0,15.0,0,0,1,4,5,3,2.09,3.7,3.56,0.0,0.0,0.0,0.0,4,3,3,8,"[55.397745, 10.35022492586062]"
15,15,13-14,Aug 04 2013,3,,Telia Parken,12956.0,København,Randers,Lost,Won,0,3,1,3,1,1,19,11,0.48,0.52,10.0,7.0,0,0,0,1,7,6,1.54,4.3,6.76,0.0,0.0,0.0,0.0,5,5,14,6,"[55.70270425, 12.572263776860414]"
16,16,13-14,Aug 04 2013,3,,Brøndby Stadion,14771.0,Brøndby,Esbjerg,Lost,Won,0,3,0,2,0,0,12,9,0.51,0.49,13.0,12.0,0,0,1,1,8,4,2.75,3.4,2.69,0.0,0.0,0.0,0.0,4,4,8,5,"[55.6503299, 12.4170778]"
17,17,13-14,Aug 05 2013,3,,Harboe Arena Slagelse,1688.0,Vestsjælland,AaB,Won,Lost,3,0,2,1,1,0,13,13,0.49,0.51,9.0,14.0,0,0,1,2,6,8,3.84,3.49,2.06,0.0,0.0,0.0,0.0,3,7,10,6,"[55.40040215, 11.364318154012732]"
18,18,13-14,Aug 09 2013,4,,Energi Viborg Arena,9047.0,Viborg,Brøndby,Draw,Draw,1,1,2,2,1,0,10,15,0.5,0.5,18.0,6.0,0,0,3,1,2,11,2.93,3.45,2.5,0.0,0.0,0.0,0.0,2,6,8,9,"[56.455903899999996, 9.402020349999999]"
19,19,13-14,Aug 10 2013,4,,Blue Water Arena,8012.0,Esbjerg,AGF,Won,Lost,3,0,5,1,1,0,8,8,0.47,0.53,5.0,9.0,0,0,1,3,9,3,2.12,3.53,3.64,0.0,0.0,0.0,0.0,4,6,4,2,"[55.48194305, 8.438397123328269]"
20,20,13-14,Aug 11 2013,4,,BioNutria Park Randers,5064.0,Randers,Midtjylland,Lost,Won,0,3,1,3,1,1,10,14,0.5,0.5,8.0,10.0,0,0,1,2,6,5,2.61,3.49,2.78,0.0,0.0,0.0,0.0,3,4,7,10,"[56.46607165, 10.010154126188361]"
21,21,13-14,Aug 11 2013,4,,Aalborg Portland Park,6369.0,AaB,OB,Draw,Draw,1,1,0,0,0,0,17,11,0.49,0.51,11.0,13.0,0,0,0,2,8,3,2.04,3.62,3.76,0.0,0.0,0.0,0.0,5,4,12,7,"[57.05203525, 9.898599342025985]"
22,22,13-14,Aug 11 2013,4,,Right to Dream Park,7769.0,Nordsjælland,København,Draw,Draw,1,1,2,2,1,1,10,10,0.53,0.47,12.0,11.0,0,0,2,3,1,1,3.44,3.59,2.17,0.0,0.0,0.0,0.0,2,4,8,6,"[55.81619865, 12.353032590985052]"
