index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,h_total_shots,a_total_shots,gps,lon,lat,reg,city
0,13-14,Jul 19 2013,1,,Ceres Park,9364,AGF,Midtjylland,Lost,Won,0,3,0,2,0,2,50,50,7,15,1,0,1,1,5,4,2.59,3.43,2.84,0,0,0,0,3,3,5,8,8,11,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
1,13-14,Jul 20 2013,1,,Energi Viborg Arena,4771,Viborg,Randers,Draw,Draw,1,1,2,2,0,1,48,52,9,5,0,0,1,2,4,1,3.16,3.39,2.39,0,0,0,0,2,4,7,6,9,10,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
2,13-14,Jul 21 2013,1,,EWII Park (Odense),7114,OB,Sonderjyske,Draw,Draw,1,1,1,1,1,0,52,48,10,12,0,0,2,2,4,11,2.06,3.62,3.74,0,0,0,0,4,8,3,8,7,16,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
3,13-14,Jul 21 2013,1,,Brondby Stadion,18770,Brondby,Vestsjaelland,Draw,Draw,1,1,1,1,1,0,53,47,10,12,0,0,2,1,8,2,1.79,3.68,4.98,0,0,0,0,4,4,12,4,16,8,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
4,13-14,Jul 21 2013,1,,Aalborg Portland Park,7062,AaB,Kobenhavn,Won,Lost,3,0,2,1,0,0,51,49,13,9,0,0,2,2,1,4,3.92,3.64,2,0,0,0,0,3,6,3,7,6,13,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
5,13-14,Jul 22 2013,1,,Blue Water Arena,7594,Esbjerg,Nordsjaelland,Won,Lost,3,0,4,0,3,0,49,51,18,9,0,0,2,0,3,8,2.94,3.38,2.54,0,0,0,0,0,5,3,2,3,7,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
6,13-14,Jul 26 2013,2,,Right to Dream Park,5067,Nordsjaelland,Viborg,Draw,Draw,1,1,1,1,1,0,47,53,7,9,0,0,2,2,6,7,1.75,3.9,4.94,0,0,0,0,5,5,9,4,14,9,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
7,13-14,Jul 27 2013,2,,Harboe Arena Slagelse,3859,Vestsjaelland,AGF,Lost,Won,0,3,0,2,0,1,49,51,9,13,0,0,0,1,2,1,2.79,3.38,2.66,0,0,0,0,7,7,7,3,14,10,"[55.40040215, 11.364318154012732, 'Region SjÃ¦lland']",55.40040215,11.36431815,Region Sjaelland,Slagelse
8,13-14,Jul 28 2013,2,,BioNutria Park Randers,4852,Randers,OB,Draw,Draw,1,1,1,1,1,0,48,52,13,12,0,0,1,2,7,4,2.09,3.56,3.69,0,0,0,0,7,6,7,6,14,12,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
9,13-14,Jul 28 2013,2,,Sydbank Park,5700,Sonderjyske,Brondby,Won,Lost,3,0,1,0,0,0,52,48,13,16,0,0,2,3,4,1,2.56,3.55,2.79,0,0,0,0,5,3,7,6,12,9,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
