index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
0,13-14,1,AGF,Midtjylland,0,2,0,2,8,11,118.81,118.53,635,436,585,359,50,77,0.92,0.82,0.5,50,0.5,50,0.53,0.47,7,15,9,11,3,3,6,4
1,13-14,1,Viborg,Randers,2,2,0,1,9,10,116.01,113.39,409,352,315,259,94,93,0.77,0.74,0.48,52,0.52,48,0.49,0.51,9,5,16,17,5,4,6,9
2,13-14,1,OB,SønderjyskE,1,1,1,0,7,16,113.9,118.93,405,481,319,392,86,89,0.79,0.81,0.52,48,0.48,52,0.61,0.39,10,12,15,10,2,3,5,2
3,13-14,1,Brøndby,Vestsjælland,1,1,1,0,16,8,108.94,103.15,409,403,351,323,58,80,0.86,0.8,0.53,47,0.47,53,0.44,0.56,10,12,11,27,1,4,7,2
4,13-14,1,AaB,København,2,1,0,0,6,13,110.61,112.78,402,516,290,424,112,92,0.72,0.82,0.51,49,0.49,51,0.48,0.52,13,9,12,18,0,3,5,6
5,13-14,1,Esbjerg,Nordsjælland,4,0,3,0,3,7,112.32,107.03,330,491,266,406,64,85,0.81,0.83,0.49,51,0.51,49,0.44,0.56,18,9,18,17,3,2,5,4
6,13-14,2,Nordsjælland,Viborg,1,1,1,0,14,9,115.32,114.69,395,458,296,356,99,102,0.75,0.78,0.47,53,0.53,47,0.5,0.5,7,9,17,10,4,1,2,7
7,13-14,2,Vestsjælland,AGF,0,2,0,1,14,10,119.61,117.72,442,473,358,378,84,95,0.81,0.8,0.49,51,0.51,49,0.48,0.52,9,13,13,14,7,1,2,8
8,13-14,2,Randers,OB,1,1,1,0,14,12,114.6,119.07,532,389,433,295,99,94,0.81,0.76,0.48,52,0.52,48,0.49,0.51,13,12,10,12,0,4,3,7
9,13-14,2,SønderjyskE,Brøndby,1,0,0,0,12,9,119.09,121.79,462,357,385,274,77,83,0.83,0.77,0.52,48,0.48,52,0.52,0.48,13,16,15,13,3,1,10,3
10,13-14,2,Midtjylland,København,1,0,1,0,10,13,114.89,113.25,426,408,358,330,68,78,0.84,0.81,0.52,48,0.48,52,0.53,0.47,10,10,16,18,3,2,11,3
11,13-14,2,Esbjerg,AaB,1,2,1,0,11,11,117.12,115.79,295,445,211,360,84,85,0.72,0.81,0.51,49,0.49,51,0.51,0.49,11,7,15,16,4,5,3,7
12,13-14,3,Midtjylland,SønderjyskE,2,1,0,0,8,11,117.48,113.79,556,388,458,310,98,78,0.82,0.8,0.51,49,0.49,51,0.52,0.48,10,12,7,16,1,4,2,4
13,13-14,3,AGF,Nordsjælland,2,1,0,0,7,10,110.45,117.42,486,346,394,268,92,78,0.81,0.77,0.47,53,0.53,47,0.61,0.39,12,9,21,14,1,1,2,4
14,13-14,3,OB,Viborg,4,2,2,1,7,11,114.49,114.95,285,725,209,661,76,64,0.73,0.91,0.47,53,0.53,47,0.52,0.48,9,15,17,9,7,1,6,5
